x,y,pressure,fingerarea,velocityx,velocityy,accelx,accely,accelz,gyrox,gyroy,gyroz,timestamp
0.28747480405215187,0.16056396350648308,0.8131433120562568,0.1909329058336798,0.5525467785881871,0.4566496540604064,0.6840204651778737,0.0,0.022958732352559085,0.006379196637751733,,,129260037.00461273
0.2913758462528562,0.1440322132719132,0.8630268148606397,0.5886464179408802,0.5432993764134979,0.4486463299945411,0.43071643934397635,0.1521701048414777,0.03685637647339588,0.9881724926125793,,,129260056.99444243
0.27082649093624994,0.15828266844214264,0.8944562275107228,0.5659048539754147,0.5458937707500056,0.46078071734749976,0.42392235607970136,0.13949890994147918,0.040818697437715726,1.0,,,129260073.99925269
0.26768487558565446,0.13792555525661254,0.8615026520161482,0.5791006609152266,0.4293389202168665,0.42047792564216097,0.42558871238981244,0.12927565210317082,0.013808706928756563,0.9935714581161557,,,129260090.991504
0.23206789021725174,0.12545084656713978,0.8022920859207104,0.9737099254073962,0.25353397758127166,0.3960073675797129,0.43103819396872173,0.12081747574743083,0.02801381376278535,0.01957636687056795,,,129260107.0035745
0.2037586918856039,0.13198951104416287,0.8635793849032138,0.9879485185601491,0.23170757266032896,0.40917269372229853,0.4284320994935231,0.11335055388921438,0.023167496036822714,0.023479471698071547,,,129260124.0116538
0.14259053404060992,0.13357122192206938,0.8811589584232637,0.5680196878503949,0.2350170009025482,0.4681310397098036,0.41218732099987065,0.13967723136417273,0.01936462236861655,0.013259310923374736,,,129260141.00222391
0.14241546396935847,0.17222623505441526,0.9259431787384741,0.18459006170961695,0.26284074292206,0.5128714562382902,0.42424446640323066,0.1111257917702306,0.003731224013254921,0.022973216705570627,,,129260156.99605513
0.08895865285542728,0.19282496127998816,0.9144925317213973,0.9686824683518832,0.315168389572653,0.5740854758452479,0.4311134011883862,0.11982160637096388,0.04159566055797249,0.016265434456553145,,,129260174.00917067
0.04138741060812554,0.3315837914556595,0.9289206395337946,0.5823445807197061,0.2792657790751853,0.725745460530944,0.43435440309848444,0.11267550747108689,0.02794567377064884,0.012592382829610576,,,129260191.01535648
0.005933436197685164,0.41865710319477284,0.9077701779063702,0.19909558903835828,0.30636817593115856,0.8393085964319642,0.4261042748336369,0.13802326529986675,0.030202312629572157,0.027739046328103718,,,129260208.00525142
0.0,0.5072364754046107,0.8995847814380987,0.37712652610042124,0.40095753094786063,0.8613710469320502,0.42495676992321335,0.12860457563259767,0.029286435684855724,0.035282480332569005,,,129260224.00895706
0.004930782064232554,0.6107259172151951,0.9023631505125379,0.5729534857965045,0.5641197891161656,0.8242208434737007,0.41899233147391685,0.13466465587791424,0.032234091340579515,0.04189417670558909,,,129260241.00986822
0.044918784812213224,0.6955865468479686,0.8442297853108469,0.2011051179516417,0.7512707887116301,0.7334869940700831,0.431535493293218,0.12262446768023438,0.035330211524509464,0.038876537266905695,,,129260257.99826261
0.040912017028627096,0.737850990018889,0.8358395653149339,0.9927859572901766,0.8003909111534013,0.600852030581007,0.4271165144223089,0.12934891453151204,0.033093928099186834,0.02400219875830846,,,129260273.99334699
0.09120143887143209,0.7922002481297412,0.8277749953448496,0.38624716076204274,0.869751624186765,0.538303586365949,0.43185889401845756,0.11726022385182817,0.03233126505929716,0.03368921835990957,,,129260291.00702888
0.16497459835009112,0.81267420130779,0.8095405061535227,0.19406982005928722,0.9506305027929475,0.5301685546686784,0.4246868487406285,0.1334497581718517,0.027614006377273233,0.007954249153110283,,,129260308.00367196
0.22252149215867892,0.842962753411143,0.7759219140143099,0.19426697518701092,1.0,0.5011635077226507,0.4241226538728022,0.14596631801521787,0.030826626126031226,0.03319155493787352,,,129260325.00025755
0.2588693362495391,0.8254077658515616,0.7813641698728141,0.1895315065583726,0.9581622615856379,0.44007257079791123,0.428667509558806,0.12442483830449368,0.028758736169451127,0.01276164636395065,,,129260340.99125843
0.2808914231187353,0.8164113502039748,0.832954191063815,0.19664984418672746,0.8229654013659706,0.36401784423617745,0.42419089738584154,0.11505769001057914,0.020592803777923697,0.018002312683912332,,,129260357.98361754
0.29232026843334763,0.8030358897917033,0.8794907561951167,0.9821693052180207,0.7042611420040225,0.34148000368045633,0.4294982478576445,0.1266913158257674,0.012452350018847183,0.040052273871215266,,,129260374.98252827
0.34245354873969847,0.7647585553503411,0.8597998056383165,0.18540386404737996,0.643351535776301,0.3087889630015816,0.41617730447126317,0.13272304583381625,0.028602039309709098,0.010345790108958305,,,129260390.99865381
0.352419401176025,0.7039608848860447,0.8324550891849536,0.5908783224108997,0.6025781330363578,0.25989793572442,0.41985358839720477,0.13043014718827908,0.016754841845158918,0.009297074247358868,,,129260407.99786669
